('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         773660 function calls (749659 primitive calls) in 1.442 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      838    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      191    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      490    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      492    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      136    0.000    0.000    0.000    0.000 css_parser.py:359(__init__)
        1    0.000    0.000    1.165    1.165 financil.py:30(get_financial_data)
      164    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
       10    0.000    0.000    0.001    0.000 enum.py:553(<listcomp>)
      132    0.000    0.000    0.000    0.000 typing_extensions.py:2954(_has_generic_or_protocol_as_origin)
      122    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
  190/187    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
     1418    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       19    0.000    0.000    0.000    0.000 enum.py:222(<setcomp>)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
      661    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
       39    0.000    0.000    0.093    0.002 response.py:1151(_handle_chunk)
       40    0.000    0.000    0.106    0.003 response.py:1044(stream)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       77    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       53    0.000    0.000    0.002    0.000 typing.py:1138(__getitem__)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      266    0.000    0.000    0.000    0.000 typing.py:1902(get_origin)
  735/678    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
      748    0.000    0.000    0.000    0.000 element.py:2160(get)
     2541    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       71    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
      176    0.000    0.000    0.000    0.000 sre_parse.py:85(opengroup)
       61    0.000    0.000    0.003    0.000 typing.py:483(Union)
       34    0.000    0.000    0.001    0.000 filter.py:378(__init__)
      173    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      321    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      741    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
      416    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:385(freeze)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
       57    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      173    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
        1    0.000    0.000    0.002    0.002 packages.py:1(<module>)
      337    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:391(cached)
        1    0.000    0.000    1.442    1.442 financil.py:1(<module>)
     1696    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
  165/164    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
       73    0.000    0.000    0.000    0.000 sre_parse.py:268(getuntil)
      656    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      191    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
      292    0.000    0.000    0.000    0.000 types.py:176(__get__)
      599    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
      599    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
       99    0.000    0.000    0.001    0.000 enum.py:980(__or__)
       40    0.000    0.000    0.106    0.003 response.py:1173(read_chunked)
       11    0.000    0.000    0.000    0.000 parse.py:473(urlsplit)
     1071    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
